fileName,contractName,LOC,WFC,WMC,NPF,AFC,Max_cc,Avg_cc,MOA,CBO,RFC,CA,CE,IC,CBF,LCOF,LCOF3,CAF,DIT,NOC,MFA,DAM,NC,NTF,NSF,NATV,NDO,NRF,NE,TNP,TNMSV,NUAP,TNTDF,bugTotalNumber,DAOMethodCall,DelegateCallWithUserInput,UnsafeCallTarget,TODAmount,TODReceiver,TODTransfer,DAO,DAOConstantGas,UnprivilegedSuicide,UnrestrictedEtherFlow,UnrestrictedWrite,UseOfOrigin,IntegerOverflow,DivisionBeforeCallvalue,DivisionBeforeMultiply,LockedEther,MissingInputValidation,UnhandledException,WriteOnly,UnsafeDependenceOnBlock,UnsafeDependenceOnGas
0x0bd344cade9a06d1798140023f56fb0f56d48afe,SafeMath,41,4,0,0,5.75,2,1.0,0,1,7,1,0,0,0,0,0,1.0,0,0,0.0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0bd3862a22c1c01d406335b24524ab3da5b116b8,owned,6,2,1,2,1.0,1,0.6666666666666666,0,1,4,1,0,0,0,0,1.5,0.5,0,1,0.0,0.0,0,0,0,1,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0x0bd3862a22c1c01d406335b24524ab3da5b116b8,EmrCrowdfund,107,10,0,9,6.0,1,0.9090909090909091,1,1,33,0,1,1,0,17,1.1111111111111112,0.26,1,0,0.0,0.0,0,1,0,2,2,10,3,16,20,14,0,6,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0x0bd490948a81b5f8135d4c062eb475e43f39f022,ERC20Basic,6,2,0,0,1.0,1,0.6666666666666666,0,2,2,2,0,0,0,1,2.0,0.75,0,2,0.0,0.0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0bd490948a81b5f8135d4c062eb475e43f39f022,SafeMath,25,4,0,0,5.0,1,0.8,0,1,7,1,0,0,0,0,0,1.0,0,0,0.0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0bd490948a81b5f8135d4c062eb475e43f39f022,BasicToken,27,2,0,0,4.5,1,0.6666666666666666,1,3,5,1,2,1,0,0,2.0,0.75,1,1,0.0,1.0,0,0,0,1,0,0,0,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0x0bd490948a81b5f8135d4c062eb475e43f39f022,Ownable,33,2,1,0,4.0,2,1.0,0,1,5,1,0,0,0,0,1.5,0.5,0,1,0.0,0.0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0bd490948a81b5f8135d4c062eb475e43f39f022,BBR,12,1,0,0,5.0,1,0.5,2,2,1,0,2,2,0,0,0,0,4,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0bd490948a81b5f8135d4c062eb475e43f39f022,BurnableToken,20,1,0,1,11.0,1,0.5,1,2,6,1,1,1,0,0,0,1.0,3,1,0.0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0bd490948a81b5f8135d4c062eb475e43f39f022,StandardToken,53,3,0,0,9.0,1,0.75,2,3,9,1,2,2,0,0,1.5,0.8333333333333334,2,1,0.0,1.0,0,0,0,2,0,1,0,7,3,5,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
